,AAPL_Highest price,MSFT_Highest price,AMZN_Highest price,GOOGL_Highest price,FB_Highest price,GOOG_Highest price,TSLA_Highest price,NVDA_Highest price,BRK.B_Highest price,JPM_Highest price,JNJ_Highest price,V_Highest price,UNH_Highest price,HD_Highest price,PG_Highest price,BAC_Highest price,DIS_Highest price,PYPL_Highest price,MA_Highest price,ADBE_Highest price,CRM_Highest price,NFLX_Highest price,XOM_Highest price,CMCSA_Highest price,PFE_Highest price,CSCO_Highest price,TMO_Highest price,VZ_Highest price,INTC_Highest price,ABT_Highest price,PEP_Highest price,ACN_Highest price,KO_Highest price,AVGO_Highest price,WMT_Highest price,CVX_Highest price,COST_Highest price,T_Highest price,DHR_Highest price,ABBV_Highest price,WFC_Highest price,NKE_Highest price,MRK_Highest price,MCD_Highest price,TXN_Highest price,LLY_Highest price,MDT_Highest price,LIN_Highest price,PM_Highest price,NEE_Highest price,ORCL_Highest price,MS_Highest price,INTU_Highest price,HON_Highest price,QCOM_Highest price,LOW_Highest price,C_Highest price,UPS_Highest price,MRNA_Highest price,BMY_Highest price,SBUX_Highest price,GS_Highest price,UNP_Highest price,RTX_Highest price,IBM_Highest price,AMD_Highest price,BLK_Highest price,AMT_Highest price,AMAT_Highest price,NOW_Highest price,AMGN_Highest price,BA_Highest price,ISRG_Highest price,GE_Highest price,TGT_Highest price,SCHW_Highest price,CVS_Highest price,AXP_Highest price,CAT_Highest price,MMM_Highest price,SPGI_Highest price,DE_Highest price,BKNG_Highest price,ANTM_Highest price,PLD_Highest price,CHTR_Highest price,ADI_Highest price,ZTS_Highest price,COP_Highest price,SYK_Highest price,MO_Highest price,GILD_Highest price,LMT_Highest price,TJX_Highest price,PNC_Highest price,LRCX_Highest price,ADP_Highest price,MU_Highest price,MDLZ_Highest price,USB_Highest price
149,110.3925,215.0,3213.5859,1490.0,252.2698,1482.41,299.9677,113.7168,204.69,98.47,149.31,198.18,312.96,268.39,134.65,25.59,130.31,204.23,329.68,454.035,203.9,510.1021,44.31,43.47,38.53,47.7331,420.32,58.19,49.72,102.36,138.15,229.4,47.265,331.58,130.75,88.43,342.73,30.209,207.3917,94.8,24.75,101.25,82.47,200.5,132.79,157.49,97.77,251.3575,77.5105,71.5,56.32,49.96,312.72,151.0,112.46,150.46,51.31,146.0,77.49,60.38,75.99,204.8075,177.99,58.59,126.75,86.32,584.92,260.37,65.25,441.05,245.41,174.98,697.565,51.2,131.93,34.355,65.6,95.58,135.94,155.4,349.95,183.59,1734.43,276.01,106.495,603.6,116.74,158.37,38.69,192.96,42.04,70.81,384.87,53.67,106.78,387.09,138.24,51.28,55.69,36.95
150,114.4125,216.3705,3247.47,1506.27,266.6,1502.39,303.462,113.58,205.39,98.1,149.25,198.92,316.24,270.44,133.37,25.665,131.63,204.16,331.215,464.37,209.95,510.82,43.9,42.89,39.1,47.825,420.21,57.945,48.82,101.8,136.29,230.97,47.53,330.88,130.23,87.9,345.12,30.09,207.17,93.65,24.5,101.18,82.39,203.6,133.82,155.5,97.71,248.0,77.2,71.1925,55.6,49.98,312.42,152.8998,111.36,152.24,51.29,145.66,76.25,62.97,75.92,206.29,180.57,58.82,126.26,86.98,583.345,255.54,64.17,439.57,242.2,175.57,692.53,51.36,129.93,33.98,65.4,96.265,135.205,156.49,352.73,183.24,1765.98,277.635,105.82,604.12,117.15,163.98,38.43,188.66,41.885,69.63,383.19,53.99,107.38,379.6,136.96,50.03,55.53,37.15
151,113.675,215.7,3240.81,1520.09,278.89,1516.845,299.95,115.0475,209.75,99.49,148.65,197.98,319.0,274.9199,133.64,26.1911,131.94,203.9509,328.33,461.79,206.94,508.29,43.52,42.92,38.615,47.6,416.86,58.55,48.65,102.3,136.76,231.87,48.08,329.73,130.46,87.11,344.73,30.06,207.66,93.0,25.22,101.91,81.02,205.16,134.11,153.5,100.09,245.67,77.51,72.3525,55.24,50.47,312.425,155.26,111.05,154.12,52.23,156.9,75.39,61.65,75.93,208.8,182.96,58.85,125.07,87.29,588.34,258.71,65.01,439.2877,243.62,171.8599,694.1,51.68,131.88,34.06,64.97,99.3,135.11,158.42,351.49,183.71,1821.45,278.18,105.15,611.47,117.3,161.995,38.39,192.51,42.225,69.73,386.66,55.756,110.03,381.69,138.98,49.1792,55.69,37.47
152,113.775,211.88,3172.51,1507.15,273.86,1504.075,291.5,114.0825,212.92,102.04,149.01,198.31,320.47,275.0,134.4399,26.81,131.32,199.85,329.74,451.125,201.48,497.4584,44.6,43.215,38.66,48.0,415.21,59.15,49.39,101.26,136.88,231.26,48.275,329.27,132.34,89.76,341.065,30.2,205.84,93.67,25.48,106.83,81.21,205.16,135.81,153.49,100.545,243.99,78.46,72.2788,55.62,50.83,308.75,159.875,108.99,154.71,53.205,162.7,75.0,61.99,77.665,210.64,187.2743,66.39,127.24,85.16,587.155,257.71,65.28,439.13,240.67,179.79,685.34,53.6,134.11,34.28,65.96,102.645,142.16,161.6,345.31,191.35,1785.89,280.15,105.64,606.0,117.31,159.925,39.67,192.0199,43.25,69.25,391.11,56.57,111.61,376.82,138.87,49.665,55.6987,37.99
153,112.4825,207.65,3159.22,1510.44,265.915,1510.0,284.0,111.3675,215.6,106.16,149.23,202.89,324.57,279.37,134.7399,27.75,132.76,193.535,334.55,444.48,195.84,480.92,46.42,44.0,38.58,48.45,410.16,59.6083,49.73,100.43,137.45,232.51,48.6527,333.32,132.87,93.01,340.85,30.77,203.61,93.29,26.14,107.3299,81.87,207.42,138.83,153.14,102.49,248.24,79.91,71.145,55.46,52.87,305.15,163.25,112.01,155.42,55.027,161.26,71.4,64.25,79.98,216.95,193.89,68.15,130.47,80.71,596.51,254.2,66.12,434.99,238.9,189.97,685.99,56.0,134.59,35.555,67.17,105.7,146.2,166.64,349.71,195.85,1847.42,288.0,104.71,604.42,119.43,159.475,41.15,192.19,44.15,69.175,399.49,58.44,115.2909,380.87,140.04,49.74,55.89,39.345
154,113.275,210.28,3174.385,1511.67,263.8973,1512.3859,317.0,114.67,214.39,106.43,150.24,200.23,323.29,282.9673,135.97,27.57,133.0,192.51,331.4,447.9299,195.418,482.49,44.94,43.725,38.55,48.13,418.04,58.97,49.26,101.1,138.68,231.32,48.69,335.88,132.23,91.66,338.9,30.51,206.98,95.58,26.14,105.89,82.91,207.4,139.1399,153.17,102.75,251.0,80.06,71.4925,54.7,53.42,305.6,162.815,116.25,157.98,55.0185,160.25,75.75,64.27,79.69,215.95,193.5,67.7,127.79,82.88,605.72,252.95,66.67,431.43,243.0,184.149,685.995,55.04,135.11,35.9983,65.98,104.8,144.165,165.95,353.0,192.82,1828.0,286.18,103.08,607.0,119.57,160.86,41.68,192.035,43.9938,69.11,396.52,58.09,114.85,383.28,140.28,48.73,56.41,39.16
155,116.0425,211.35,3217.5211,1536.9744,265.16,1537.25,330.236,117.2175,213.33,103.36,149.19,199.94,321.87,282.655,135.87,26.67,132.35,195.13,329.8306,455.9,198.07,484.45,43.87,43.425,38.18,43.84,417.65,58.6,49.33,101.2693,138.61,232.3784,48.73,333.41,131.96,91.28,339.46,30.13,207.48,95.5,25.23,106.99,83.63,207.25,138.6,151.69,101.88,249.92,78.99,71.365,54.195,52.46,310.71,159.65,116.2,157.148,53.48,159.72,69.18,63.58,79.6401,212.2,191.68,64.6378,126.39,84.02,595.305,253.0,66.6,439.81,242.77,179.47,694.0,54.08,134.94,34.915,64.975,101.83,142.7376,167.49,356.47,191.17,1823.98,282.37,103.73,609.31,119.135,159.865,41.825,191.29,43.07,69.195,394.05,57.61,111.79,382.45,140.54,47.23,56.35,37.8
156,115.0,209.59,3178.2357,1519.785,262.65,1521.9,333.76,117.0475,211.97,103.31,149.34,198.07,323.93,282.0,135.64,26.6601,131.08,195.4687,327.64,452.814,195.48,488.325,43.28,44.18,38.39,42.88,416.47,58.94,49.21,101.22,138.172,231.93,48.69,329.85,132.97,90.59,338.76,30.15,207.87,95.67,25.49,106.78,84.43,207.33,138.31,151.69,102.04,249.55,78.3,71.035,54.555,52.545,308.74,160.87,114.52,156.08,53.345,162.43,70.36,63.55,78.93,209.48,193.63,66.4,125.56,83.24,592.46,253.24,69.9,442.8927,240.06,179.47,692.54,53.76,137.0,35.46,65.68,101.29,140.89,166.3,357.75,193.21,1787.22,285.27,103.847,610.95,119.06,158.77,41.0,190.32,42.72,68.8199,394.2,58.35,112.49,384.99,140.1,46.0794,56.42,37.96
157,116.0875,211.1874,3194.97,1523.78,264.0973,1525.61,369.172,124.0975,210.82,102.0,150.23,200.46,323.8,289.2172,135.7,26.41,130.1371,197.42,331.23,456.1,197.07,486.24,43.17,43.95,38.41,42.7625,419.74,58.93,49.305,101.42,138.89,233.77,48.75,331.79,136.13,91.58,340.37,30.08,206.45,97.26,25.14,106.5,85.18,209.5,139.24,152.7,103.19,250.58,78.54,71.2675,54.39,52.3,310.015,160.88,114.49,158.72,52.82,162.1399,70.78,64.075,78.96,207.85,195.09,69.044,125.59,83.06,595.545,251.95,68.23,445.15,244.74,178.29,695.06,53.52,138.69,35.275,65.88,100.0,140.6007,166.37,359.85,194.24,1792.39,285.84,104.22,610.2,118.4984,158.5832,40.98,190.92,43.335,69.35,395.19,59.54,111.05,384.17,140.735,45.94,56.685,37.62
158,116.0,212.36,3320.0,1557.37,265.15,1562.47,384.78,124.96,209.76,99.91,150.1,200.1,322.67,290.58,137.52,25.985,129.59,198.75,331.4,464.5,204.8,495.3,43.19,43.735,38.46,42.29,419.91,59.47,49.57,101.72,138.61,234.93,48.5,333.18,137.6323,89.37,342.8,29.93,208.29,96.7,24.45,107.0,85.01,210.43,139.455,153.15,102.83,250.25,79.42,71.2925,56.925,51.37,311.0,159.76,113.38,160.6046,51.53,161.345,69.7,63.68,79.36,203.58,194.39,69.62,125.5,82.88,594.76,254.78,67.39,444.36,244.305,173.238,696.195,52.56,137.97,35.0,65.555,98.83,140.11,165.44,362.28,194.82,1792.0,285.65,104.32,612.935,118.69,160.53,41.325,190.67,43.6,69.75,391.91,59.01,110.33,382.7021,140.79,45.16,57.34,37.03
159,117.1625,212.1,3315.9,1568.86,267.908,1573.68,382.2,123.15,210.21,100.59,151.58,202.8425,319.49,287.97,136.32,26.08,130.2166,196.84,334.4599,468.11,207.1,494.4985,42.655,43.759,38.6062,42.35,423.4,59.44,48.98,101.62,138.795,236.5034,48.38,333.09,134.66,87.9,341.94,29.89,209.15,97.42,24.39,109.69,85.71,211.17,140.88,154.41,102.18,249.32,79.77,71.0638,56.8,52.03,313.95,158.13,113.47,162.89,51.33,161.8899,69.17,63.82,79.385,206.1,192.1799,71.315,125.5,81.85,595.55,253.58,66.73,443.64,243.73,174.1,699.0,52.56,154.6889,35.9,65.71,97.9148,139.92,165.6898,363.1,194.6,1807.09,286.298,104.05,616.07,119.47,160.98,40.32,189.91,44.15,67.47,391.97,54.81,108.75,376.19,140.51,44.7,57.33,36.9
160,118.392,215.0,3312.62,1580.17,269.63,1585.87,404.398,123.75,206.79,98.03,151.58,204.44,315.28,281.91,136.98,25.325,128.45,198.7,338.0,479.8,210.11,498.94,41.885,43.435,38.79,42.42,423.09,59.09,50.2,102.02,137.15,236.95,47.6,329.99,132.07,86.89,341.66,29.875,206.592,96.03,23.94,108.74,85.31,210.99,139.13,152.85,100.707,245.7,78.78,70.9404,55.81,51.07,320.655,157.02,110.98,159.1627,50.015,160.26,68.0,62.86,77.65,203.28,190.7501,71.23,124.04,82.84,588.26,248.96,64.82,454.73,240.6888,170.84,695.205,51.0152,156.1,35.35,64.93,97.5755,137.98,163.6634,361.48,192.05,1774.95,283.745,103.44,614.37,118.5,158.89,39.31,188.965,43.81,66.16,389.2,53.66,106.43,363.4,139.476,43.655,57.27,35.94
161,124.868,216.25,3314.3962,1591.88,270.49,1597.72,419.098,128.087,208.4,98.565,153.65,205.14,315.2809,283.55,138.101,25.43,128.31,199.0999,338.8,477.28,210.0,498.13,41.34,43.23,39.0,42.3,429.9225,59.04,49.31,102.54,136.66,238.3,47.495,330.46,132.67,85.09,345.84,29.79,208.025,95.32,23.91,109.77,85.18,212.185,140.49,151.35,100.085,244.93,78.59,70.76,55.45,51.42,322.6,157.76,113.15,162.08,50.08,160.24,68.02,62.35,77.27,203.35,191.79,71.12,123.4842,84.41,588.0,249.98,63.28,453.99,238.88,170.0839,694.975,51.04,155.61,34.89,64.12,97.65,139.0,162.69,363.365,202.95,1785.05,286.27,103.6196,614.8,117.23,159.22,38.81,189.04,43.65,66.87,390.79,53.24,106.99,356.71,139.05,43.06,57.725,35.726
