Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-30,113.06279789676056,116.51062322026254,112.89388614297165,115.06988525390625,142675200,0.0,0
2020-10-01,116.88819122183325,116.96768178095374,115.08976091039469,116.04362487792969,116120400,0.0,0
2020-10-02,112.16855538039286,114.632709826223,111.50283895622397,112.29772186279297,144712000,0.0,0
2020-10-05,113.18204104002812,115.90452844847958,112.82434107913524,115.75548553466797,106243800,0.0,0
2020-10-06,114.96058948770253,115.37791114231763,111.53264053902521,112.43682861328125,161498200,0.0,0
2020-10-07,113.88749935288317,114.81155629421879,113.400625343562,114.34455871582031,96849000,0.0,0
2020-10-08,115.50707867387494,115.65612158183964,113.85768363217011,114.23526000976562,83477200,0.0,0
2020-10-09,114.543278634878,116.25228783995712,114.18557868122714,116.22248077392578,100506900,0.0,0
2020-10-12,119.29272751810349,124.380009751654,118.51771349398855,123.60499572753906,240226800,0.0,0
2020-10-13,124.46942124058292,124.58865707370029,118.88534238406011,120.3260726928711,262330500,0.0,0
2020-10-14,120.2267238943642,122.24374953688007,118.85554580542484,120.41551208496094,150712000,0.0,0
2020-10-15,117.9612953923331,120.4254421711401,117.39493840376045,119.9385757446289,112559200,0.0,0
2020-10-16,120.50492791071319,120.77320665177501,118.05071186490125,118.25936889648438,115393800,0.0,0
2020-10-19,119.19337626033128,119.6504356499062,114.92086062005907,115.23881530761719,120639300,0.0,0
2020-10-20,115.45739229600555,118.21963239018267,114.891035324385,116.75902557373047,124423700,0.0,0
2020-10-21,115.92439675791216,117.95136066662545,115.70580149609444,116.12312316894531,89946000,0.0,0
2020-10-22,116.69940957687011,117.28564300742975,113.85768636452642,115.0102767944336,101988000,0.0,0
2020-10-23,115.64618826695525,115.8051693970243,113.54967199315406,114.30481719970703,82572600,0.0,0
2020-10-26,113.28139611073505,115.80516459106249,112.1586127729715,114.31475067138672,111850700,0.0,0
