Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,3.10788487484433,3.21534597587191,3.37488224240515,2.95166899970868,2.56591312626037,2.64942062883462,2.40622703183633,1.86391124668396,2.85177336421873,2.18540000839062,0.62260495720725,0.88722916425152,2.40973534145284,1.65106445818912,-1.28141917096265,1.26689165699568,0.575068852913289,1.88990329174528,4.03454769286935,5.7163904794562,8.59461978793387,8.17734743775717,6.6181602274006,8.14108811911498,6.56332655995495,6.19386027119665,5.59223790069931,5.59038219332081,6.69068693481143,6.03974920024778,4.91534648240575,3.88423803806005,3.54561722959168,4.898309954362,6.5939963828891,6.32407370913164,6.53661498804258,7.1481919123237,6.4571348015229,6.84484418755139,4.62675686396421,3.04507118458628,2.22410112310282,1.60458893576253,2.98135677415587,4.78644765750077,5.22340584151622,3.08241133651995,2.46882889478265,2.06073671062756,1.1373383192166,1.30708311280131,1.46929925051209,1.37474217085635,2.28569648741529,2.43685070473409,2.17569426533145,2.44449371999786,3.43601046885253,2.30495808623329,
